PAM50 mRNA,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56
Luminal_A,1.57212844,-1.383528441,-0.496171632,1.067423638,1.308230504,-1.284566715,-0.66770529,0.054715309,0.688070355,0.734252494,-1.040461124,-0.073934935,0.905786152,0.038221688,-1.845349828,0.364795384,-0.671004014,-1.126227953,-0.443392045,-0.050843865,1.159787915,0.66827801,0.595706077,-0.482976735,0.856305289,-0.433495872,-0.143208143,0.163573208,-1.871739622,-0.753472119,0.443964764,-0.987681537,0.892591255,-0.638016772,-0.572042288,1.364308815,0.07120893,0.028325516,0.160274483,-0.760069568,3.495284646,0.058014033,-0.377417561,-1.677114894,0.549523939,-2.053169453,0.664979286,-2.778888776,-0.819446603,-0.56544484,0.051416585,-0.420300975,0.094299999,-3.633258343,0.945370842,0.302119624
Basal_like,-1.390413574,-0.742618509,1.602264669,0.951095671,-0.155554232,0.117734311,0.819512298,-1.015907052,0.299926673,-0.864080084,2.098232765,-0.25677221,-1.47476189,-1.532118744,-0.169049962,0.451753642,1.389706913,1.490924892,0.387648922,2.948463788,-3.165102137,-1.28244773,0.151473638,0.927478143,0.843129827,-0.418720977,-0.725748846,-0.648148395,0.208830492,-2.318245047,-0.260146143,1.11641837,1.474055229,0.772277242,-0.644774463,0.920730277,-1.748050433,0.893738816,0.293178808,-0.56380008,-1.707563241,0.377527124,1.349219721,-0.698757385,-3.475503939,0.262813415,-0.283763671,0.438257911,-4.025454958,0.006394535,-2.78384775,0.768903309,0.522606227,0.367405326,2.455869624,-1.61646706
HER2_enriched,-0.821159549,0.704569746,-1.777396573,-0.595912606,-2.291639594,1.635307115,-1.373652052,-0.234667508,1.635307115,-1.020906839,-0.145418719,-0.36641572,-0.268667047,-1.016656896,-3.022629674,-0.043420103,0.007579204,-1.012406954,1.5333085,-1.471400725,-1.828395881,-0.595912606,0.322074937,0.194576667,-1.003907069,-1.539399802,0.589821303,0.908566978,0.373074245,2.544794773,3.624280124,0.904317035,1.605557519,-0.298416643,-0.625662202,-0.396165317,0.156327186,0.385824071,-0.693661279,-0.124169008,-5.258099338,1.116814152,-3.685620677,0.687569977,-0.62141226,-1.080406031,0.007579204,-2.15564144,0.534572053,-1.220654128,1.843554289,1.163563517,0.198826609,0.428323495,-2.117391959,0.033078858
Luminal_B,-0.8911724,0.198626305,-3.318546779,0.110434502,-1.61350526,-0.341023536,0.568191954,0.011743675,-0.362021584,-0.242332709,-1.361528681,0.620687075,1.374517007,-1.672299796,0.215424743,1.057446479,0.328814204,-0.958366155,-0.267530367,-1.762591403,0.773972827,0.07053821,0.099935478,0.566092149,-0.542604799,-0.578301481,0.410706592,0.347712447,0.175528452,0.267919864,0.874763459,-1.183045271,-0.257031343,0.891561897,0.809669509,-0.017653592,-0.376720218,-0.616097968,-0.687491332,0.656383757,1.376616812,1.112041404,-0.414516705,0.482099956,-1.357329072,0.532495272,2.865378434,-1.829785158,-0.912170448,1.151937696,0.095735868,1.351419154,-1.710096282,1.198133402,-0.943667521,2.42861903
Basal_like,-0.370895895,-0.014564729,0.058905615,-1.436215879,4.268756309,0.40421623,-0.49579548,-0.92559699,0.440951402,-0.49579548,1.293207389,-0.091708589,-3.912166462,-4.419111833,-0.271710932,-0.697838925,1.476883248,-0.455386791,0.169111131,2.376894959,-2.582353241,2.872819779,2.406283096,0.194825751,-0.334160724,-1.046823057,-0.966005679,-0.389263481,0.96626436,0.554830435,-0.275384449,-0.617021547,-0.161505416,0.63932133,0.826670707,-0.268037414,-2.310512969,1.105858013,0.224213888,0.11768189,-2.512556414,-0.455386791,-1.094578781,-1.079884712,-5.726883951,-0.209261139,-2.383983313,1.950766965,-4.797484103,-0.389263481,-2.332554072,1.943419931,0.819323672,0.793609052,-0.793350372,-0.881514784
Luminal_B,-2.591205826,0.066324141,0.544947296,-0.8976162,-1.901720721,-0.405604984,-0.452463195,0.538253266,0.317350271,-1.131907255,-1.225623677,-0.111067658,-1.212235617,3.322969805,-1.657388621,-0.167966914,-0.790511718,0.146652502,0.879648803,-0.104373628,0.049589065,5.307749743,6.12442142,-0.342011698,-0.064209447,-0.559567678,0.568376401,-0.121108703,-0.823981868,-1.004720682,-0.244948261,1.428559275,-0.107720643,-0.000616161,0.049589065,-1.105131134,-0.014004221,0.94993612,0.166734593,-0.693448281,0.839484622,1.20765628,0.682174914,1.110592843,-0.208131095,-0.345358713,0.109835337,-1.918455797,-0.964556501,0.337432361,6.405570686,-0.857452019,1.800077948,1.254514491,-0.526097527,-4.371817844
HER2_enriched,-2.056971478,0.220149638,-0.396012546,0.009659451,-8.92660577,0.472737863,-0.39983964,-0.610329828,0.354097939,-0.805511638,-1.666607858,-1.119333371,-0.927978656,-2.79560068,7.158671628,-2.045490195,-0.34626032,-0.947114127,-0.112807567,0.977914312,-1.027483108,-0.98538507,-0.751932317,0.564588127,-1.237973295,-0.916497373,-0.055401152,-1.184393975,0.093855526,-0.79020326,-0.296508094,0.281383147,-0.962422504,0.112990998,-0.690698808,1.088900048,-1.800556159,-0.020957303,0.710017711,-2.099069515,-2.07610695,-0.350087414,-1.268590049,0.48804624,1.161614839,-1.873270951,-4.150392067,1.203712877,1.04680201,-0.503171187,-2.581283399,0.633475824,-3.714103316,-0.017130209,-1.930677366,-1.341304841
Basal_like,-1.087942733,0.62485271,0.026876757,-0.051250754,-1.652864738,-0.255584246,1.998093968,-1.021834838,-0.327701949,-0.297652906,0.474607496,0.270274004,-1.364393927,-4.777965195,4.263791799,0.54071539,-0.012186999,1.180760003,0.114018981,2.830452455,-2.13064452,-0.61617276,-0.61617276,-0.243564629,0.51968106,-0.018196807,0.089979747,-0.480952067,-0.276618576,-0.913658284,0.20416611,-0.222530299,0.047911087,6.144861881,0.303327951,1.123666821,0.30933776,2.106270522,0.276283813,-0.30065781,-1.09996235,0.237220057,0.85623034,-2.007443444,-2.316948585,0.234215153,-1.361389023,2.217451981,-4.204028476,-0.51100111,-2.169708275,0.636872327,-0.514006014,0.901303904,2.085236192,-0.53203544
Luminal_A,2.23020726,-1.159571569,1.896060416,3.039406244,-5.189463027,-0.479200284,1.92826734,1.10699076,0.937904405,1.239844324,0.958033733,-0.438941628,1.155301147,-3.406004569,-2.327072591,0.966085464,-1.244114746,0.225326195,-0.660364235,-0.59192452,0.39441255,-0.897890305,-0.813347128,2.830061233,1.819568969,1.948396668,-0.849579918,1.38074962,-1.372942445,-2.182141429,-0.120898246,0.644016216,1.638405018,0.656093813,-0.861657515,0.148834749,-2.306943263,-0.229596617,-0.628157311,-0.978407617,0.277662448,0.986214792,-2.496158945,-0.837502321,0.885568152,-1.127364644,2.423448808,-1.272295805,0.933878539,-0.269855273,-2.516288273,-0.962304155,0.680249007,-0.350372585,1.094913163,-1.087105988
Luminal_A,1.495410575,-0.684942422,4.01088424,0.916189665,3.97364861,0.779659022,1.95465001,-0.38292009,0.568657119,-0.10158422,-0.436704889,-0.66425596,0.432126476,-3.862382841,-3.175592334,1.313369717,-0.705628883,-0.639432207,-1.479302526,-1.595146708,1.24303575,-1.756501105,-1.744089228,0.750697976,1.470586821,0.130104144,-0.784237435,0.953425295,-2.865295418,-1.9716403,0.676226717,0.183888943,3.237210596,-1.007651214,-0.552549071,0.378341677,-2.075072605,-0.705628883,-5.256650317,-1.54136191,0.175614359,0.287321249,2.219436712,-0.49462698,1.706412478,1.528508912,-1.442066897,-0.651844084,0.713462346,-0.403606551,-4.425054582,0.40316543,3.762646708,-0.38292009,-1.226927701,-1.471027942
Luminal_B,-0.739844212,0.081652957,-3.263014086,0.089476739,-1.729552705,-0.125677281,-0.567720995,1.971096444,-0.113941607,-0.466011822,1.37648897,-0.653782603,0.55107991,-4.037568559,-3.266925977,-0.692901516,-0.966733906,-0.219562672,-0.360390758,-2.461076374,-1.979913747,0.089476739,0.351573455,0.0620935,-0.732020429,0.891414451,0.410251824,0.038622153,-0.540337756,-2.124653724,-0.481659387,0.691907996,0.860119321,0.112948087,-0.927614993,-0.516866409,-1.420513294,-0.235210237,-3.525110802,-1.244478187,2.432699615,1.669880816,1.403872209,0.418075607,1.708999729,0.441546954,1.607290555,-0.188267541,2.166691008,-0.188267541,-3.266925977,0.860119321,3.688416715,-0.344743192,1.153511167,-1.674786227
Basal_like,-0.300939613,-1.097059621,0.035011738,1.500211327,-0.859917491,0.811369901,0.625043942,-0.004511951,0.232630179,-0.337640181,3.177144961,0.780315575,-0.080736207,-2.062566865,-0.394102593,0.080181667,0.263684506,2.493949777,-0.182368548,2.858132334,-1.89317963,-0.385633231,-0.439272523,1.545381256,0.483887912,-0.399748834,0.625043942,0.181814009,0.210045215,-1.441480334,0.644805786,2.135413461,0.639159545,0.977934017,-0.504204296,-0.176722307,-0.202130392,-0.66229905,-1.410426008,0.006780532,0.229807059,0.2354533,0.653275148,0.170521526,-0.439272523,-1.032127848,1.449395156,7.795770256,-0.323524578,-0.552197346,-2.847394391,0.61657458,1.838985798,1.37034778,0.311677556,-0.354578905
Luminal_B,0.94974174,0.989917714,1.371589465,-0.351959809,-2.517444793,0.069887916,-0.87022987,0.114081487,0.230591811,0.79707304,1.198832778,0.740826677,-0.159115135,-2.300494535,-2.336652911,-0.484540522,0.732791482,-1.87864681,0.881442585,-2.899116543,1.717102839,1.36355427,0.576105185,0.620298756,0.560034795,0.102028695,-1.059056946,0.32299655,0.459594861,1.110445635,0.604228366,-3.413369007,0.266750187,1.026076091,1.869771539,1.054199272,-0.974687401,1.066252064,-0.834071493,0.242644603,4.629860934,-0.464452535,-1.440728697,0.142204668,0.672527522,4.396840287,-0.327854224,-0.552839677,0.88947778,0.355137329,-1.059056946,-1.396535126,2.030475434,-0.761754741,0.302908563,0.403348498
